"","Ticker","SEC_Company_ID"
"1832","SYNC",1408278
"1837","PEG",788784
"1840","OUT",1579877
"1841","CCLP",1449488
"1843","HLF",1180262
"1844","MRNS",1267813
"1847","MXC",66418
"1848","WP",1533932
"1849","FF",1337298
"1850","GM",1467858
"1855","XOXO",1062292
"1856","OCLR",1110647
"1857","SWK",93556
"1861","WLB",106455
"1863","AEGN",353020
"1866","CFR",39263
"1873","SYF",1601712
"1877","XENT",1271214
"1885","NYCB",910073
"1891","SHBI",1035092
"1892","HI",1417398
"1893","WMS",1604028
"1894","OCUL",1393434
"1898","DCT",1170991
"1903","STZ",16918
"1904","ICD",1537028
"1906","MMM",66740
"1908","GFN",1342287
"1910","SNV",18349
"1911","CDNA",1217234
"1913","FMCB",1085913
"1918","ITUS",715446
"1921","IRMD",1325618
"1924","RGEN",730272
"1925","WATT",1575793
"1928","NFX",912750
"1932","CFX",1420800
"1935","AMOT",46129
"1936","SPDC",911650
"1937","SLCT",1263762
"1943","SAGE",1597553
"1944","PFNX",1478121
"1945","BPL",805022
"1946","DDR",894315
"1947","NICK",1000045
"1949","TSS",721683
"1953","NUVA",1142596
"1958","SMLR",1554859
"1959","CTLT",1596783
"1960","ARCB",894405
"1961","ROYL",864839
"1965","LOXO",1581720
"1966","ARNC",4281
"1967","ETSY",1370637
"1968","BCBP",1228454
"1969","MCK",927653
"1970","ATRA",1604464
"1972","TRNC",1593195
"1973","MBVX",1109196
"1974","NWLI",70684
"1976","SLM",1032033
"1982","SERV",1428875
"1989","NERV",1598646
"1990","MPC",1510295
"1992","JUVF",714712
"1998","EGL",1544229
"2004","FDS",1013237
"2006","MIK",1593936
"2007","PENN",921738
"2010","RF",1281761
"2012","MTBC",1582982
"2014","ZFGN",1374690
"2020","UNSI",1122991
"2021","KINS",33992
"2024","MERR",826683
"2026","EVBN",842518
"2027","VRTV",1599489
"2028","CCS",1576940
"2034","AMS",744825
"2037","LTC",887905
"2043","NMI",1547903
"2044","UVE",891166
"2045","SDPI",1600422
"2057","ARC",1305168
"2061","MINI",911109
"2062","CG",1527166
"2064","IT",749251
"2068","OFG",1030469
"2070","ROST",745732
"2072","CROX",1334036
"2073","RSPP",1588216
"2077","MMP",1126975
"2079","DAVE",1021270
"2080","INVT",1084752
"2087","TRUE",1327318
"2088","AKS",918160
"2089","LOW",60667
"2091","HY",1173514
"2092","ASPS",1462418
"2100","QUAD",1481792
"2101","CVEO",1590584
"2103","SLB",87347
"2104","RYAM",1597672
"2107","DNOW",1599617
"2108","ESV",314808
"2109","ECR",1600470
"2110","CACC",885550
"2119","NEPH",1196298
"2120","DHR",313616
"2123","MTRX",866273
"2125","SKYW",793733
"2130","ECL",31462
"2133","FRME",712534
"2135","NUE",73309
"2138","RTEC",1094392
"2141","CPK",19745
"2143","AVP",8868
"2145","ENTG",1101302
"2153","XYL",1524472
"2163","BCC",1328581
"2168","ONTX",1130598
"2170","STWD",1465128
"2174","KNL",1011570
